Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Telephone Master,"i belsa plaza, Ömerağa, Abdurrahman Yüksel Cd. D:7.blok no:8, 41100 İzmit/Kocaeli",0541 840 74 50,,https://instagram.com/telephonemaster41,https://www.google.com/maps/place/Kayalar+Telefon+-+Kocaeli+Telefon+Tamiri+-+%C4%B0zmit+Telefon+Tablet+Tamiri/data=!4m7!3m6!1s0x14cb45cde10a0a61:0xcd639c9ca8990a2b!8m2!3d40.7642674!4d29.9288339!16s%2Fg%2F11gs5_d41z!19sChIJYQoK4c1FyxQRKwqZqJycY80?authuser=0&hl=tr&rclk=1
Paşa Elektronik,"Kadıköy, Reşitpaşa Sk. No:29 D:1, 41050 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/ZENG%C4%B0N+TEKNOLOJ%C4%B0+GSM/data=!4m7!3m6!1s0x14cb459ce48c70d5:0x841340033348ad69!8m2!3d40.7656807!4d29.9283694!16s%2Fg%2F11vs7w9k61!19sChIJ1XCM5JxFyxQRaa1IMwNAE4Q?authuser=0&hl=tr&rclk=1
Paşa Elektronik,"Kadıköy, Reşitpaşa Sk. No:29 D:1, 41050 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Telephone+Master/data=!4m7!3m6!1s0x14cb45e08971f941:0xe1764ced07bf00d0!8m2!3d40.7648923!4d29.9298813!16s%2Fg%2F11sqqjz9g8!19sChIJQflxieBFyxQR0AC_B-1MduE?authuser=0&hl=tr&rclk=1
MOBİTELL GSM TECHNOLOGY,"Ömerağa, Alemdar Cd. No: 45/A, 41000 İzmit/Kocaeli",0532 069 77 14,,N/A,https://www.google.com/maps/place/Pa%C5%9Fa+Elektronik/data=!4m7!3m6!1s0x14cb4f4dfcea8637:0x2031426ae7dbd148!8m2!3d40.7671083!4d29.943107!16s%2Fg%2F11sccw1t17!19sChIJN4bq_E1PyxQRSNHb52pCMSA?authuser=0&hl=tr&rclk=1
TEKNİKCELL,"Ömerağa Mahallesi Alemdar Caddesi Belsaplaza Zemin Kat No:72, 41100 İzmit/Kocaeli",0542 425 87 80,,N/A,https://www.google.com/maps/place/T%C3%BCrk+Telekom/data=!4m7!3m6!1s0x406364b0423cb1f9:0x260e0fd978c2c11f!8m2!3d40.7581897!4d29.979303!16s%2Fg%2F11bycj2091!19sChIJ-bE8QrBkY0ARH8HCeNkPDiY?authuser=0&hl=tr&rclk=1
ES TEKNOLOJİ,"Ömerağa, İstiklal Cd. no:97, 41001 İzmit/Kocaeli",0553 618 28 09,,http://www.esteknoloji.com.tr/,https://www.google.com/maps/place/MOB%C4%B0TELL+GSM+TECHNOLOGY/data=!4m7!3m6!1s0x14cb458af6c6644d:0x90893ecd0bbd293c!8m2!3d40.764985!4d29.9283359!16s%2Fg%2F11nnp_7lqr!19sChIJTWTG9opFyxQRPCm9C80-iZA?authuser=0&hl=tr&rclk=1
DMR GSM AKSESUAR İTHALAT,"Karabaş, Leyla Atakan Cd. 33/A, 41040 İzmit/Kocaeli",0530 857 04 41,,N/A,https://www.google.com/maps/place/TEKN%C4%B0KCELL/data=!4m7!3m6!1s0x14cb45ba75f04a9d:0x223acb7d6bd9092e!8m2!3d40.7646397!4d29.9290412!16s%2Fg%2F11ry7n82_w!19sChIJnUrwdbpFyxQRLgnZa33LOiI?authuser=0&hl=tr&rclk=1
A&T İletişim Teknoloji Ltd. Şti. Turkcell,"Bekirdere, Turan Güneş Cd. No: 339B, 41060 İzmit/Kocaeli",0534 629 11 73,,N/A,https://www.google.com/maps/place/ES+TEKNOLOJ%C4%B0/data=!4m7!3m6!1s0x14cb4722d8ffaa19:0x1cfb5f0454984219!8m2!3d40.7643422!4d29.9273185!16s%2Fg%2F11j64qrzj8!19sChIJGar_2CJHyxQRGUKYVARf-xw?authuser=0&hl=tr&rclk=1
Büyükkaraca GSM,"Büyükkaraca GSM, M. Alipaşa, Turan Güneş Cd. 234/A, 41050 İzmit/Kocaeli",0530 134 93 41,,N/A,https://www.google.com/maps/place/DMR+GSM+AKSESUAR+%C4%B0THALAT/data=!4m7!3m6!1s0x14cb4f00504da1f9:0x68c3a6dba0564ad3!8m2!3d40.7651351!4d29.9341652!16s%2Fg%2F11w319j3v8!19sChIJ-aFNUABPyxQR00pWoNumw2g?authuser=0&hl=tr&rclk=1
Toramantech,"Yenidoğan Mahallesi İstanbul Ankara, Karayolu Cd. No:29/B, 41100 Kocaeli",0551 181 52 97,,N/A,https://www.google.com/maps/place/A%26T+%C4%B0leti%C5%9Fim+Teknoloji+Ltd.+%C5%9Eti.+Turkcell/data=!4m7!3m6!1s0x14cb4f5e8f84469b:0xf2b14225342f6d69!8m2!3d40.7725729!4d29.9552689!16s%2Fg%2F11jmyrllsj!19sChIJm0aEj15PyxQRaW0vNCVCsfI?authuser=0&hl=tr&rclk=1
Faturavizyon,"Erenler, Turan Güneş Cd. No:247/B, 41100 İzmit/Kocaeli",0545 485 57 74,,N/A,https://www.google.com/maps/place/B%C3%BCy%C3%BCkkaraca+GSM/data=!4m7!3m6!1s0x14cb4f8a26534fb7:0xb85a73bd261593a6!8m2!3d40.7723324!4d29.9516428!16s%2Fg%2F11tg2_3qq8!19sChIJt09TJopPyxQRppMVJr1zWrg?authuser=0&hl=tr&rclk=1
Ekran Yenileme Merkezi,"SOYDAN İŞ MERKEZİ, Ömerağa, Alemdar Cd. No: 34 Zemin Kat No:4, 41300 İzmit/Kocaeli",0532 334 01 19,,N/A,https://www.google.com/maps/place/Toramantech/data=!4m7!3m6!1s0x14cb45f2def1bd97:0x48ebadd9548e5a68!8m2!3d40.7665855!4d29.9037447!16s%2Fg%2F11q_5gg8f_!19sChIJl73x3vJFyxQRaFqOVNmt60g?authuser=0&hl=tr&rclk=1
Özdağlar İletişim,"Ömerağa, Hürriyet Cd. Timur Apt. No:139, 41300 İzmit/Kocaeli (İzmit)",(0262) 322 94 94,,N/A,https://www.google.com/maps/place/Faturavizyon/data=!4m7!3m6!1s0x14cb4f8f42b9ec71:0xf6c307d81f888497!8m2!3d40.7712945!4d29.948623!16s%2Fg%2F11rsh33ll6!19sChIJcey5Qo9PyxQRl4SIH9gHw_Y?authuser=0&hl=tr&rclk=1
İZMİT CEP TELEFONU ÇELİK İLETİŞİM,"Karabaş, Cengiz Topel Cd. :42/A, 41100 İzmit/Kocaeli",0531 287 77 77,,N/A,https://www.google.com/maps/place/Ekran+Yenileme+Merkezi/data=!4m7!3m6!1s0x14cb45a94fe58853:0x9047c91ef37c3349!8m2!3d40.7647319!4d29.9284636!16s%2Fg%2F11kppzjs5c!19sChIJU4jlT6lFyxQRSTN88x7JR5A?authuser=0&hl=tr&rclk=1
BHB GSM,"Öztalay Pasajı, Ömerağa, Fethiye Cd. No:40/131, 41100 İzmit",0536 234 71 79,,N/A,https://www.google.com/maps/place/%C3%96zda%C4%9Flar+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb457e4b3a0a31:0xa5602d0d85df49b7!8m2!3d40.7635925!4d29.9299205!16s%2Fg%2F1v7hxcv_!19sChIJMQo6S35FyxQRt0nfhQ0tYKU?authuser=0&hl=tr&rclk=1
