Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
İndes Bilgisayar Sistemleri Tic. Ltd. Sti.,"Apartmanı No 120 Kat, Tepecik, Çelikay Sk. No:2, 41200 İzmit/Kocaeli",(0262) 322 79 66,info@indesltd.com,http://www.indesltd.com/,https://www.google.com/maps/place/TEDB%C4%B0R+YAZILIM+OTOMASYON+ITH+SAN+TIC+LTD+STI/data=!4m7!3m6!1s0x14cb4fecada3699f:0x73363b3cb06b9a28!8m2!3d40.7728545!4d29.9511456!16s%2Fg%2F11s21fzsbq!19sChIJn2mjrexPyxQRKJprsDw7NnM?authuser=0&hl=tr&rclk=1
Özdil Yazılım Film Yapım Yayın Danışmanlık Organizasyon ve Reklâm Hizmetleri,"No:69, Kozluk, Sait Faik Sk., 41200",0535 418 30 31,"ozdils@gmail.com, ozdilfilm@gmail.com, filler@godaddy.com",https://ozdilsa.godaddysites.com/,https://www.google.com/maps/place/Teknolife+Bilgisayar/data=!4m7!3m6!1s0x14cb4f8eca3c44a9:0x2824ade0b4a7dbb0!8m2!3d40.7664871!4d29.943592!16s%2Fg%2F11bxd7w01p!19sChIJqUQ8yo5PyxQRsNuntOCtJCg?authuser=0&hl=tr&rclk=1
Neo Tasarım,"Karabaş, Hafız Binbaşı Cd. No:5, 41100 İzmit/Kocaeli",(0262) 332 41 29,info@neotasarim.com,http://www.neotasarim.com/,https://www.google.com/maps/place/Neo+Tasar%C4%B1m/data=!4m7!3m6!1s0x14cb45698509c201:0xbdfc819d8cbb58e1!8m2!3d40.7632127!4d29.9355888!16s%2Fg%2F1td8g0bx!19sChIJAcIJhWlFyxQR4Vi7jJ2B_L0?authuser=0&hl=tr&rclk=1
İzmit Necip Bilgisayar (Belsa Plaza Necip Bilgisayar),"Ömerağa Mah. Abdurrahman Yüksel Cad. Belsa Plaza Kat:1 No:67, 41200 İzmit/Kocaeli",0537 029 45 57,satis@necipbilgisayar.net,http://www.necipbilgisayar.net/,https://www.google.com/maps/place/Laplace+Elektronik+Bil.Hiz.San.+ve+Tic.+ltd.+%C5%9Eti./data=!4m7!3m6!1s0x14cb45513c72f327:0xe59399a93544f55a!8m2!3d40.7495933!4d29.9663695!16s%2Fg%2F11cnbtj672!19sChIJJ_NyPFFFyxQRWvVENamZk-U?authuser=0&hl=tr&rclk=1
UbitIQ,"Kadıköy, Bahri Çakır Sk. 8/A, 41050 İzmit/Kocaeli",,bilgi@ubitiq.com,http://ubitiq.com/,https://www.google.com/maps/place/%C4%B0rk+E%C4%9Fitim+Yaz%C4%B1l%C4%B1m+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cb51531036a15b:0x4c7f55f29494e209!8m2!3d40.7545147!4d30.0193799!16s%2Fg%2F11sfk4v201!19sChIJW6E2EFNRyxQRCeKUlPJVf0w?authuser=0&hl=tr&rclk=1
"Reform Bilişim / Web Tasarım, Sosyal Medya, E-Ticaret, Kurumsal Kimlik","Çukurbağ, Bahariye Cd. No:18/3, 41300 İzmit/Kocaeli",0850 302 2841,"info@reformbilisim.com, destek@reformbilisim.com, ajax-loader@2x.gif",https://www.reformbilisim.com/,https://www.google.com/maps/place/Digital+Elektronik+Hasan+L%C3%BCleci/data=!4m7!3m6!1s0x14cb4f8925a7ccf9:0x4db0998bd7e032f0!8m2!3d40.7657919!4d29.9427838!16s%2Fg%2F11h07zvv6r!19sChIJ-cynJYlPyxQR8DLg14uZsE0?authuser=0&hl=tr&rclk=1
ABT MÜHENDİSLİK OTOMASYON BİLİŞİM SAN. Ve TİC. LTD. ŞTİ.,"Sanayi Mh. Çarşıyapı İş Merkezi 10B Blok İç Kapı: B30, 41000 İzmit/Kocaeli",(0262) 311 74 42,info@abtmuhendislik.com,http://www.abtmuhendislik.com/,https://www.google.com/maps/place/SiyahKare+Yaz%C4%B1l%C4%B1m+Teknoloji+San.+Tic.+A.%C5%9E./data=!4m7!3m6!1s0x14cb4f1db932a01d:0x99d25181a80c782b!8m2!3d40.7636207!4d29.9512597!16s%2Fg%2F11qpjdfffb!19sChIJHaAyuR1PyxQRK3gMqIFR0pk?authuser=0&hl=tr&rclk=1
Gökay Elektronik | Kocaeli Laptop Servisi,"Ömerağa Mahallesi Belsa İş Merkezi Kat: 1 NO : 159, 41300 İzmit/Kocaeli",0537 993 39 93,info@gokayelektronik.com,http://www.gokayelektronik.com/,https://www.google.com/maps/place/Samsung+Kocaeli+Beyaz+E%C5%9Fya+ve+Elektronik+Yetkili+Servisi+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cb4f1c2184417b:0x136ea3a12bca80f4!8m2!3d40.7669095!4d29.9433313!16s%2Fg%2F11j68c_gd9!19sChIJe0GEIRxPyxQR9IDKK6GjbhM?authuser=0&hl=tr&rclk=1
Bitekno Güvenlik ve İletişim Sistemleri Ltd. Şti.,"Kadıköy, Esendal Sk. No:17/c, 41040 İzmit/Kocaeli",0850 840 4884,info@bitekno.com,http://www.bitekno.com/,https://www.google.com/maps/place/G%C3%B6kay+Elektronik+%7C+Kocaeli+Laptop+Servisi/data=!4m7!3m6!1s0x14cb457f93aa83dd:0xb5011ade8a8decf2!8m2!3d40.765041!4d29.9291986!16s%2Fg%2F11gdm7k7ml!19sChIJ3YOqk39FyxQR8uyNit4aAbU?authuser=0&hl=tr&rclk=1
bucod - Yazılım ve Web Geliştirme,"Sanayi, Çelikyay Sokak No: 15/3, 41060 İzmit/Kocaeli",0531 901 13 07,"info@bucod.com, devicon@v2.15.1, typed.js@2.0.12",https://www.bucod.com/,https://www.google.com/maps/place/ACADEMY+B%C4%B0L%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb4f8625033563:0x223b29316116c7b3!8m2!3d40.766014!4d29.938774!16s%2Fg%2F1tzvys6m!19sChIJYzUDJYZPyxQRs8cWYTEpOyI?authuser=0&hl=tr&rclk=1
Asbiltek Bilgisayar,"Karabaş, Leyla Atakan Cd. No:33, 41040 İzmit/Kocaeli",(0262) 332 47 20,"info@asbiltek.com, teknik@asbiltek.com",http://www.asbiltek.com/,https://www.google.com/maps/place/Sultan+Bilgisayar/data=!4m7!3m6!1s0x14cb45819da58f31:0x4b57ce3be5c050e1!8m2!3d40.775517!4d29.991453!16s%2Fg%2F1hc23h816!19sChIJMY-lnYFFyxQR4VDA5TvOV0s?authuser=0&hl=tr&rclk=1
FourByte Yazılım ve Danışmanlık,"İstasyon, Leyla Atakan Cad. No:11 İşyeri No:5, 41000 Kartepe/Kocaeli",0531 744 10 00,info@fourbyte.com.tr,https://fourbyte.com.tr/,https://www.google.com/maps/place/Asbiltek+Bilgisayar/data=!4m7!3m6!1s0x14cb4f87487d705d:0xc493c15d4eb76349!8m2!3d40.7651244!4d29.9342014!16s%2Fg%2F11c4988d5f!19sChIJXXB9SIdPyxQRSWO3Tl3Bk8Q?authuser=0&hl=tr&rclk=1
İnceoğlu Bilişim,"Karabaş, İkizli Çeşme Sk., 41040 İzmit/Kocaeli",(0262) 323 39 35,info@inceoglubilisim.com,https://www.inceoglubilisim.com/about-us/,https://www.google.com/maps/place/ER%C4%B0%C5%9E+ELEKTRON%C4%B0K+-+HAL%C4%B0L+ER%C4%B0%C5%9E/data=!4m7!3m6!1s0x14cb4582f36599c3:0x3223cc40fac4f7b4!8m2!3d40.7648953!4d29.9299074!16s%2Fg%2F11j_zb5z02!19sChIJw5ll84JFyxQRtPfE-kDMIzI?authuser=0&hl=tr&rclk=1
Baki Bilişim,"Karabaş, Ncity Alışveriş Merkezi Bowlingo 2. Kat, 41200 İzmit/Kocaeli",0507 817 27 17,bilgi@bakibilisim.com,http://www.bakibilisim.com/,https://www.google.com/maps/place/ZUKOD/data=!4m7!3m6!1s0x14cb4f88ed2ad047:0xbf1706ee5d8eb772!8m2!3d40.7654408!4d29.9408089!16s%2Fg%2F11t79mf9z9!19sChIJR9Aq7YhPyxQRcreOXe4GF78?authuser=0&hl=tr&rclk=1
