Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
İndes Bilgisayar Sistemleri Tic. Ltd. Sti.,"Apartmanı No 120 Kat, Tepecik, Çelikay Sk. No:2, 41200 İzmit/Kocaeli",(0262) 322 79 66,info@indesltd.com,http://www.indesltd.com/,https://www.google.com/maps/place/TEDB%C4%B0R+YAZILIM+OTOMASYON+ITH+SAN+TIC+LTD+STI/data=!4m7!3m6!1s0x14cb4fecada3699f:0x73363b3cb06b9a28!8m2!3d40.7728545!4d29.9511456!16s%2Fg%2F11s21fzsbq!19sChIJn2mjrexPyxQRKJprsDw7NnM?authuser=0&hl=tr&rclk=1
Teknolife Bilgisayar,"76,, Kadıköy, Zümrüt Sk. No:74, 41050 İzmit/Kocaeli",0542 809 90 40,,,https://www.google.com/maps/place/%C4%B0ndes+Bilgisayar+Sistemleri+Tic.+Ltd.+Sti./data=!4m7!3m6!1s0x14cb45805eab0987:0xfdfb94f937b086df!8m2!3d40.7653408!4d29.9251234!16s%2Fg%2F11bbx0sjwp!19sChIJhwmrXoBFyxQR34awN_mU-_0?authuser=0&hl=tr&rclk=1
Kocaeli Deniz Bilgisayar,"Ömerağa mahahllesi, Soydan Sk. iş hanı no:34/73, 41000 İzmit/Kocaeli",0541 216 07 41,,,https://www.google.com/maps/place/Proje%C3%A7%C3%B6z%C3%BCm+AR-GE+%26+Otomasyon/data=!4m7!3m6!1s0x14cb457ffb0223dd:0x95153dbab11e060!8m2!3d40.7654737!4d29.9283917!16s%2Fg%2F11c6zkxkrc!19sChIJ3SMC-39FyxQRYOARq9tTUQk?authuser=0&hl=tr&rclk=1
Özdil Yazılım Film Yapım Yayın Danışmanlık Organizasyon ve Reklâm Hizmetleri,"No:69, Kozluk, Sait Faik Sk., 41200",0535 418 30 31,"ozdils@gmail.com, ozdilfilm@gmail.com, filler@godaddy.com, micah@micahrich.com",https://ozdilsa.godaddysites.com/,https://www.google.com/maps/place/Teknolife+Bilgisayar/data=!4m7!3m6!1s0x14cb4f8eca3c44a9:0x2824ade0b4a7dbb0!8m2!3d40.7664871!4d29.943592!16s%2Fg%2F11bxd7w01p!19sChIJqUQ8yo5PyxQRsNuntOCtJCg?authuser=0&hl=tr&rclk=1
Milestone Yazılım ve Danışmanlık 3d baskı ve makina,"Sanayi mahallesi kozalı sok. çarşı yapı avm J10, 41040 izmit/Kocaeli",(0262) 335 05 65,,,https://www.google.com/maps/place/Kocaeli+Deniz+Bilgisayar/data=!4m7!3m6!1s0x14cb452eefb3c58b:0xefbac95328c72f36!8m2!3d40.7638627!4d29.8836473!16s%2Fg%2F11p5jg3_fb!19sChIJi8Wz7y5FyxQRNi_HKFPJuu8?authuser=0&hl=tr&rclk=1
Evo Bilgisayar | Evobs,"Hacı Hasan Mahallesi Hacı Kasım Sk Oğuz İş Merkezi, No:3 Dükkan:48 İzmit / Kocaeli, 41200",(0262) 324 64 84,,,https://www.google.com/maps/place/%C3%96zdil+Yaz%C4%B1l%C4%B1m+Film+Yap%C4%B1m+Yay%C4%B1n+Dan%C4%B1%C5%9Fmanl%C4%B1k+Organizasyon+ve+Rekl%C3%A2m+Hizmetleri/data=!4m7!3m6!1s0x14cb458f5333dd5d:0x81d8c4310c8eb43f!8m2!3d40.766592!4d29.91611!16s%2Fg%2F1q5hrjc62!19sChIJXd0zU49FyxQRP7SODDHE2IE?authuser=0&hl=tr&rclk=1
Neo Tasarım,"Karabaş, Hafız Binbaşı Cd. No:5, 41100 İzmit/Kocaeli",(0262) 332 41 29,,http://www.neotasarim.com/,https://www.google.com/maps/place/Milestone+Yaz%C4%B1l%C4%B1m+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+3d+bask%C4%B1+ve+makina/data=!4m7!3m6!1s0x14cb455e67c7d673:0x7b5c70193e262a7b!8m2!3d40.75531!4d29.953175!16s%2Fg%2F11c53h7_fg!19sChIJc9bHZ15FyxQReyomPhlwXHs?authuser=0&hl=tr&rclk=1
Laplace Elektronik Bil.Hiz.San. ve Tic. ltd. Şti.,"Karadenizliler Mah. Bosna Hersek Sk. No: 7/2 İzmit, 41140 Başiskele/Kocaeli",,,,https://www.google.com/maps/place/Kocaeli+Yerinde+Servis/data=!4m7!3m6!1s0x14cb4f8c62902703:0xb62cc775b33676db!8m2!3d40.7655615!4d29.9479348!16s%2Fg%2F11bw82v3m5!19sChIJAyeQYoxPyxQR23Y2s3XHLLY?authuser=0&hl=tr&rclk=1
Misbah Bilgisayar,"No. 30, Ziya Gökalp Cd., 41050",0542 325 45 41,,,https://www.google.com/maps/place/UZMANLAR+B%C4%B0L%C4%B0%C5%9E%C4%B0M+TEKNOLOJ%C4%B0LER%C4%B0/data=!4m7!3m6!1s0x14cb4f8954baf289:0xb58ac7cce9023464!8m2!3d40.7658499!4d29.944836!16s%2Fg%2F11c1ws558b!19sChIJifK6VIlPyxQRZDQC6czHirU?authuser=0&hl=tr&rclk=1
İzmit Necip Bilgisayar (Belsa Plaza Necip Bilgisayar),"Ömerağa Mah. Abdurrahman Yüksel Cad. Belsa Plaza Kat:1 No:67, 41200 İzmit/Kocaeli",0537 029 45 57,satis@necipbilgisayar.net,http://www.necipbilgisayar.net/,https://www.google.com/maps/place/Laplace+Elektronik+Bil.Hiz.San.+ve+Tic.+ltd.+%C5%9Eti./data=!4m7!3m6!1s0x14cb45513c72f327:0xe59399a93544f55a!8m2!3d40.7495933!4d29.9663695!16s%2Fg%2F11cnbtj672!19sChIJJ_NyPFFFyxQRWvVENamZk-U?authuser=0&hl=tr&rclk=1
