Name,Address,Phone,Email,Website,Google Maps Link
Masala Kebap,"Körfez Mahallesi, Berk Sokak No:1 - Dolphin AVM Karşısı, 41040 İzmit/Kocaeli",,info@masalakebap.com,https://www.masalakebap.com/,https://www.google.com/maps/place/%D9%83%D9%88%D9%81%D8%AA%D8%AC%D9%8A+%D9%8A%D9%88%D8%B3%D9%81%E2%80%AD/data=!4m7!3m6!1s0x14cb4f8afde97323:0x64d782e2a8aabdeb!8m2!3d40.7599102!4d29.9742679!16s%2Fg%2F11fxwt2ngg!19sChIJI3Pp_YpPyxQR672qqOKC12Q?authuser=0&hl=tr&rclk=1
Masala Kebap,"Körfez Mahallesi, Berk Sokak No:1 - Dolphin AVM Karşısı, 41040 İzmit/Kocaeli",,info@masalakebap.com,https://www.masalakebap.com/,https://www.google.com/maps/place/%C4%B0ntiba+D%C3%B6ner+-+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f8ba9fa58c7:0xe62851d5e7327ad0!8m2!3d40.7629711!4d29.9478727!16s%2Fg%2F11by_ldj2t!19sChIJx1j6qYtPyxQR0Hoy59VRKOY?authuser=0&hl=tr&rclk=1
Happymoon's Cafe,"Arastapark AVM, Yahyakaptan, Akasyalar Cd. No:24 kat:2, 41050 İzmit/Kocaeli",,,http://www.happymoons.com.tr/,https://www.google.com/maps/place/Masala+Kebap/data=!4m7!3m6!1s0x14cb4f87d7a3f2eb:0x5953f0cb1e4e4c0f!8m2!3d40.7647183!4d29.9401826!16s%2Fg%2F11bz_vjj_c!19sChIJ6_Kj14dPyxQRD0xOHsvwU1k?authuser=0&hl=tr&rclk=1
Çeto Kebap,"Alikahya Fatih, Seymen Cd. No:51C, 41310 İzmit/Kocaeli",,"yuvamceto@gmail.com, bilgi@rezzta.com, wght@300..700, flags@2x.webp",https://www.cetokebap.com.tr/,https://www.google.com/maps/place/Kat%C4%B1k+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f01885aeddd:0xff52d73bd627df8b!8m2!3d40.7645853!4d29.9363531!16s%2Fg%2F11fj99351_!19sChIJ3e1aiAFPyxQRi98n1jvXUv8?authuser=0&hl=tr&rclk=1
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",,,http://www.yesildaglar.com/,https://www.google.com/maps/place/Happymoon%27s+Cafe/data=!4m7!3m6!1s0x14cb501e7d5a2ad5:0x6232f163c2079d25!8m2!3d40.7671045!4d29.975776!16s%2Fg%2F11cjlw7f28!19sChIJ1SpafR5QyxQRJZ0HwmPxMmI?authuser=0&hl=tr&rclk=1
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",,,http://www.yesildaglar.com/,https://www.google.com/maps/place/%C3%87eto+Kebap/data=!4m7!3m6!1s0x14cb50272cbfa279:0x6cf2cc74bb2277ce!8m2!3d40.775707!4d29.977588!16s%2Fg%2F11c20c2hv6!19sChIJeaK_LCdQyxQRznciu3TM8mw?authuser=0&hl=tr&rclk=1
Basol Et Kasap Steak house,"Sanayi, Ömer Türkçakal Blv. No:99, 41040 İzmit/Kocaeli",,,http://www.basolsteakhouse.com/,https://www.google.com/maps/place/Ye%C5%9Filda%C4%9Flar+Et/data=!4m7!3m6!1s0x14cb445e6d314589:0x2cec06428d195c5c!8m2!3d40.7133558!4d29.9225622!16s%2Fg%2F11b_3fwx0b!19sChIJiUUxbV5EyxQRXFwZjUIG7Cw?authuser=0&hl=tr&rclk=1
Basol Et Kasap Steak house,"Sanayi, Ömer Türkçakal Blv. No:99, 41040 İzmit/Kocaeli",,,http://www.basolsteakhouse.com/,https://www.google.com/maps/place/Ho%C5%9Fg%C3%B6r+Pastaneleri/data=!4m7!3m6!1s0x14cb4613fa4f3571:0xb98beb7dbd4230ac!8m2!3d40.7641667!4d29.9341667!16s%2Fg%2F1v86h0r1!19sChIJcTVP-hNGyxQRrDBCvX3ri7k?authuser=0&hl=tr&rclk=1
Konyalı Lezzet Ustası,"Yenişehir, Seymen Cd. No:39, 41050 İzmit/Kocaeli",,info@konyalilezzetustasi.com.tr,http://www.konyalilezzetustasi.com.tr/,https://www.google.com/maps/place/Basol+Et+Kasap+Steak+house/data=!4m7!3m6!1s0x14cb45139148419b:0xd6dfe129f83c8177!8m2!3d40.739849!4d29.9440983!16s%2Fg%2F11c1tjbjgj!19sChIJm0FIkRNFyxQRd4E8-Cnh39Y?authuser=0&hl=tr&rclk=1
Aslar Kebap Salonu,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",(0262) 321 47 77,,N/A,https://www.google.com/maps/place/K%C3%96ZZ+Ocakba%C5%9F%C4%B1+%C4%B0zmit/data=!4m7!3m6!1s0x14cb5aaafe7925c3:0xad0088aef5464827!8m2!3d40.760711!4d29.9299!16s%2Fg%2F1tglw9gw!19sChIJwyV5_qpayxQRJ0hG9a6IAK0?authuser=0&hl=tr&rclk=1
