Name,Address,Phone,Email,Website,Google Maps Link
,,,"appstore@2x.png, turkish-opet@2x.png, sizeOzel@2x.png, no-avatar@2x.png, opet-fuchs@2x.png, footer-phone@2x.png, googleplay@2x.png, koc-logo-dark@2x.png, homebox-bg@2x.png, sunpet@2x.png",https://www.opet.com.tr/,https://www.google.com/maps/place/ZES+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb5002e2cae191:0xd40eff207d3f9a09!8m2!3d40.7596637!4d29.9768429!16s%2Fg%2F11m5j_b4wb!19sChIJkeHK4gJQyxQRCZo_fSD_DtQ?authuser=0&hl=tr&rclk=1
,,,"appstore@2x.png, turkish-opet@2x.png, sizeOzel@2x.png, no-avatar@2x.png, opet-fuchs@2x.png, footer-phone@2x.png, googleplay@2x.png, koc-logo-dark@2x.png, homebox-bg@2x.png, sunpet@2x.png",https://www.opet.com.tr/,https://www.google.com/maps/place/Trugo+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb46aad72f696f:0xdb2819800d29df9b!8m2!3d40.7063854!4d29.878948!16s%2Fg%2F11wgx696ph!19sChIJb2kv16pGyxQRm98pDYAZKNs?authuser=0&hl=tr&rclk=1
,,,,https://www.petrolofisi.com.tr/,https://www.google.com/maps/place/Opet/data=!4m7!3m6!1s0x14cb453ed89aa2a3:0x564ba6c952c3019e!8m2!3d40.7372625!4d29.9557862!16s%2Fg%2F113dldxcv!19sChIJo6Ka2D5FyxQRngHDUsmmS1Y?authuser=0&hl=tr&rclk=1
,,,,https://www.petrolofisi.com.tr/,https://www.google.com/maps/place/E%C5%9Farj+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb44e0ff472253:0xd10442e5ac3e8551!8m2!3d40.7208619!4d29.9483334!16s%2Fg%2F11x2yhkwdc!19sChIJUyJH_-BEyxQRUYU-rOVCBNE?authuser=0&hl=tr&rclk=1
,,,,https://www.petrolofisi.com.tr/,https://www.google.com/maps/place/Petrol+Ofisi/data=!4m7!3m6!1s0x14cb440de0e6c9c9:0x9b684cc8feaca316!8m2!3d40.7086343!4d29.8990265!16s%2Fg%2F11h6g28gby!19sChIJycnm4A1EyxQRFqOs_shMaJs?authuser=0&hl=tr&rclk=1
,,,"appstore@2x.png, turkish-opet@2x.png, sizeOzel@2x.png, no-avatar@2x.png, opet-fuchs@2x.png, footer-phone@2x.png, googleplay@2x.png, koc-logo-dark@2x.png, homebox-bg@2x.png, sunpet@2x.png",https://www.opet.com.tr/,https://www.google.com/maps/place/ZES+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb50047f69829f:0x1592dd4f054d57d2!8m2!3d40.7573473!4d29.9794501!16s%2Fg%2F11jcdd0sgb!19sChIJn4JpfwRQyxQR0ldNBU_dkhU?authuser=0&hl=tr&rclk=1
,,,"appstore@2x.png, turkish-opet@2x.png, sizeOzel@2x.png, no-avatar@2x.png, opet-fuchs@2x.png, footer-phone@2x.png, googleplay@2x.png, koc-logo-dark@2x.png, homebox-bg@2x.png, sunpet@2x.png",https://www.opet.com.tr/,https://www.google.com/maps/place/ZES+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb458780339a5f:0x63cfe968d47154f3!8m2!3d40.757001!4d29.947612!16s%2Fg%2F11rb5pl9fk!19sChIJX5ozgIdFyxQR81Rx1Gjpz2M?authuser=0&hl=tr&rclk=1
,,,"appstore@2x.png, turkish-opet@2x.png, sizeOzel@2x.png, no-avatar@2x.png, opet-fuchs@2x.png, footer-phone@2x.png, googleplay@2x.png, koc-logo-dark@2x.png, homebox-bg@2x.png, sunpet@2x.png",https://www.opet.com.tr/,https://www.google.com/maps/place/Opet/data=!4m7!3m6!1s0x14cb4567eaccacb3:0x36c4deaa16975c0!8m2!3d40.7514959!4d29.9497825!16s%2Fg%2F11bcd_vn9b!19sChIJs6zM6mdFyxQRwHVpoepNbAM?authuser=0&hl=tr&rclk=1
,,,,N/A,https://www.google.com/maps/place/T%C3%BCrkiye+Petrolleri/data=!4m7!3m6!1s0x14cb4fee35c71621:0x2d72ae2f0142afbc!8m2!3d40.7672865!4d29.959391!16s%2Fg%2F11cltv7ywj!19sChIJIRbHNe5PyxQRvK9CAS-uci0?authuser=0&hl=tr&rclk=1
,,,,N/A,https://www.google.com/maps/place/Opet/data=!4m7!3m6!1s0x14cb4544489ea2f9:0x5d70f5f5a8d76d9a!8m2!3d40.7447808!4d29.9587596!16s%2Fg%2F11b7vdxb7x!19sChIJ-aKeSERFyxQRmm3XqPX1cF0?authuser=0&hl=tr&rclk=1
,,,,https://www.petrolofisi.com.tr/,https://www.google.com/maps/place/G%C3%B6rpet+Petrol+Yahya+Kaptan/data=!4m7!3m6!1s0x14cb4ffd74f25fd9:0x1652877e35c84d85!8m2!3d40.7603401!4d29.9733068!16s%2Fg%2F11fx90wphs!19sChIJ2V_ydP1PyxQRhU3INX6HUhY?authuser=0&hl=tr&rclk=1
,,,,https://www.petrolofisi.com.tr/,https://www.google.com/maps/place/Aygaz+Otogaz+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb440fa1252f93:0xd6ac579e8488e23b!8m2!3d40.708539!4d29.894844!16s%2Fg%2F11b7rtz21q!19sChIJky8loQ9EyxQRO-KIhJ5XrNY?authuser=0&hl=tr&rclk=1
,,,,https://www.petrolofisi.com.tr/,https://www.google.com/maps/place/Full-y%C4%B1ld%C4%B1zlar+Petrol/data=!4m7!3m6!1s0x14cb4559c7c4f003:0x8afc1ba4a9aee034!8m2!3d40.753676!4d29.961166!16s%2Fg%2F11b7q04sy2!19sChIJA_DEx1lFyxQRNOCuqaQb_Io?authuser=0&hl=tr&rclk=1
,,,,http://www.mogaz.com.tr/,https://www.google.com/maps/place/E%C5%9Farj+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb500285c0c3e7:0xe1277d153e6134a4!8m2!3d40.7600561!4d29.9746677!16s%2Fg%2F11x0j5d_16!19sChIJ58PAhQJQyxQRpDRhPhV9J-E?authuser=0&hl=tr&rclk=1
,,,,N/A,https://www.google.com/maps/place/Elektrikli+Ara%C3%A7+%C5%9Earj+%C4%B0stasyonu/data=!4m7!3m6!1s0x14cb4f52dab7d987:0xf3b88a16f4b81e2c!8m2!3d40.7619483!4d29.9619264!16s%2Fg%2F11vbnnf09z!19sChIJh9m32lJPyxQRLB649BaKuPM?authuser=0&hl=tr&rclk=1
,,,,https://esarj.com/en/,https://www.google.com/maps/place/Mogaz/data=!4m7!3m6!1s0x14cb457fb3f2bdb9:0x1613e2f7b3cff182!8m2!3d40.7129489!4d29.9197629!16s%2Fg%2F1ptynnvvk!19sChIJub3ys39FyxQRgvHPs_fiExY?authuser=0&hl=tr&rclk=1
,,,"appstore@2x.png, turkish-opet@2x.png, sizeOzel@2x.png, no-avatar@2x.png, opet-fuchs@2x.png, footer-phone@2x.png, googleplay@2x.png, koc-logo-dark@2x.png, homebox-bg@2x.png, sunpet@2x.png",https://www.opet.com.tr/,https://www.google.com/maps/place/Bonjour/data=!4m7!3m6!1s0x14cb472b4a0a5491:0xef3b16087f1dcbed!8m2!3d40.7551746!4d29.9565052!16s%2Fg%2F1hc3gt_4f!19sChIJkVQKSitHyxQR7csdfwgWO-8?authuser=0&hl=tr&rclk=1
