Name,Address,Phone,Email,Website,Google Maps Link
KOCAELİ İNTERNET,"Serdar, Selahattin Eyyubi Cd. No:20/21, 41040 Başiskele/Kocaeli",0850 441 9230,info@kocaeliinternet.com.tr,https://kocaeliinternet.com.tr/anasayfa,https://www.google.com/maps/place/Alt%C4%B1noluk+Pastanesi+Ye%C5%9Filova+%C5%9Eubesi/data=!4m7!3m6!1s0x14cb4fd5cc271431:0x7bd13332a1ba71b8!8m2!3d40.7868377!4d29.9715293!16s%2Fg%2F11g8w7ys7p!19sChIJMRQnzNVPyxQRuHG6oTIz0Xs?authuser=0&hl=tr&rclk=1
MAZİ Plak&Cafe İzmit,"Karabaş, Cebesoy Sk. No: 5/A, 41041 İzmit/Kocaeli",,info@maziplak.com,http://maziplak.com/,https://www.google.com/maps/place/%C3%9CM%C4%B0T+USTA+BA%C5%9E%C4%B0SKELE/data=!4m7!3m6!1s0x14cb4594932d3e4b:0xca65390647d423c7!8m2!3d40.7144194!4d29.9136861!16s%2Fg%2F11kq3s0_zk!19sChIJSz4tk5RFyxQRxyPURwY5Zco?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı Başiskele,"Körfez, Liman Cd. No:116, 41245 Başiskele/Kocaeli",(0262) 414 61 41,info@cinaraltikunefe.com,http://www.cinaraltikunefe.com/,https://www.google.com/maps/place/SS+Gaming+Internet+Cafe/data=!4m7!3m6!1s0x14cb457d8e381f0b:0x24a9f1e020553e7b!8m2!3d40.763398!4d29.935423!16s%2Fg%2F11f4jcm84s!19sChIJCx84jn1FyxQRez5VIODxqSQ?authuser=0&hl=tr&rclk=1
Mixle,"ömerağa mah istiklal cad belsa plaza, 41100 izmit/Kocaeli",0553 079 53 41,info@mixle.com.tr,http://www.mixle.com.tr/,https://www.google.com/maps/place/Ba%C5%9Far%C4%B1+Kitap+Kafe/data=!4m7!3m6!1s0x14cb515df972badf:0x1abacc7552842b6c!8m2!3d40.7380304!4d30.0270847!16s%2Fg%2F11wtchnkg7!19sChIJ37py-V1RyxQRbCuEUnXMuho?authuser=0&hl=tr&rclk=1
BALOGLU OTEL | İZMİT,"Kadıköy, Turan Güneş Cd. No:110/A, 41100 İzmit/Kocaeli",0535 050 60 70,"info@2035themes.com, info@baloglusuit.com.tr",https://www.baloglusuit.com.tr/,https://www.google.com/maps/place/Salon+AKMESE/data=!4m7!3m6!1s0x14cb4fe5082bb61b:0x6dc0a38a1f23cd87!8m2!3d40.7672713!4d29.964656!16s%2Fg%2F11c7szzrgr!19sChIJG7YrCOVPyxQRh80jH4qjwG0?authuser=0&hl=tr&rclk=1
Milklaç - Kocaeli (Başiskele),"Fatih, Galip Erenoğlu Cd. No:12 D:C, 41001 Başiskele/Kocaeli",0506 493 55 74,"info@minimalyazilim.com, info@milklac.com",https://milklac.com/,https://www.google.com/maps/place/Keyif+Pastanesi/data=!4m7!3m6!1s0x14cb44f4196bd113:0xd00e98b3e1d98ba6!8m2!3d40.713509!4d29.9324239!16s%2Fg%2F113df6wx5!19sChIJE9FrGfREyxQRpovZ4bOYDtA?authuser=0&hl=tr&rclk=1
Playpark&Bowlingo,"Karabaş, Salim Dervişoğlu Cd (Oramiral Salim Dervişoğlu Cd.), 41040 İzmit/Kocaeli",(0262) 334 00 86,info@bowlingo.com.tr,http://www.bowlingo.com.tr/,https://www.google.com/maps/place/E%C4%9Flence+Istasyonu+%C4%B0nternet+Cafe/data=!4m7!3m6!1s0x14cb51dfad24a7e7:0x97ce599fda8ed48b!8m2!3d40.7924575!4d29.9752497!16s%2Fg%2F11ghpdf2ml!19sChIJ56ckrd9RyxQRi9SO2p9Zzpc?authuser=0&hl=tr&rclk=1
Kahve Dünyası - Kocaeli Başiskele,"Mahmutpaşa, Karamürsel Cd. No:339 İş yeri No: 15-16, 41001 Başiskele/Kocaeli",(0262) 460 42 00,"online@altinmarkaRT.com, altinkiliclarkahvekakao@hs03.kep.tr, musterihizmetleri@altinmarkart.com, u003eonline@altinmarkaRT.com",https://www.kahvedunyasi.com/,https://www.google.com/maps/place/%C4%B0NS%C3%9CL%C4%B0N+%25100+%C5%9EEKER+COFFE/data=!4m7!3m6!1s0x14cb458c179ba99f:0x105327a577aeed2f!8m2!3d40.7632667!4d29.9355457!16s%2Fg%2F11v0q2zmz7!19sChIJn6mbF4xFyxQRL-2ud6UnUxA?authuser=0&hl=tr&rclk=1
Kolibri Coffee Yenişehir,"Yenişehir, Demokrasi Cd. No:31, 41100 İzmit/Kocaeli",,info@kolibricoffee.com.tr,https://kolibricoffee.com.tr/,https://www.google.com/maps/place/Bo%27s+Cafe/data=!4m7!3m6!1s0x14cb4f8622421bff:0x131d7e3bdbd82d85!8m2!3d40.766234!4d29.9388362!16s%2Fg%2F11gf62hmqt!19sChIJ_xtCIoZPyxQRhS3Y2zt-HRM?authuser=0&hl=tr&rclk=1
Jumbo Künefe Başiskele Sahil,"Körfez, Liman Cd. No: 70, 41245 Başiskele/Kocaeli",(0262) 343 43 42,"cerenkanberoglu@ilepa.com.tr, ilkeracay@jumbokunefe.com, e.kekliik@gmail.com, info@jumbokunefe.com, burakbektas@jumbokunefe.com, arif@ilepa.com.tr",https://jumbokunefe.com/,https://www.google.com/maps/place/Kolibri+Coffee+Yeni%C5%9Fehir/data=!4m7!3m6!1s0x14cb4fb23516cf7d:0x238bf74907bdea9f!8m2!3d40.7628273!4d29.9629419!16s%2Fg%2F11w997f0w4!19sChIJfc8WNbJPyxQRn-q9B0n3iyM?authuser=0&hl=tr&rclk=1
