Name,Address,Phone,Email,Website,Google Maps Link
Easy Speak Yuvam Akarca Şubesi,"Alikahya Fatih, Sultan Murat Cd. No:33/2, 41310 İzmit/Kocaeli",(0262) 311 33 03,,http://easyspeak.com.tr/yahyakaptan,https://www.google.com/maps/place/Tuncay+Emir+Anaokulu/data=!4m7!3m6!1s0x14cb505abcee799d:0xe25eb23f80896401!8m2!3d40.769771!4d30.009234!16s%2Fg%2F11c56zvm2v!19sChIJnXnuvFpQyxQRAWSJgD-yXuI?authuser=0&hl=tr&rclk=1
İzmit Namık Kemal Anadolu Lisesi,"Karadenizliler, Gizemnur Cd. No:25, 41050 İzmit/Kocaeli",(0262) 321 20 92,,http://izmitnkal.meb.k12.tr/,https://www.google.com/maps/place/%C3%96zel+%C5%9Eirin+S%C3%BCr%C3%BCc%C3%BC+Kursu+ve+Erkek+%C3%96%C4%9Frenci+Yurdu/data=!4m7!3m6!1s0x14cb4feca350cdcd:0x5a3f40de37b3a1f4!8m2!3d40.772804!4d29.9522776!16s%2Fg%2F113j9w_7c!19sChIJzc1Qo-xPyxQR9KGzN95AP1o?authuser=0&hl=tr&rclk=1
İzmit Namık Kemal Anadolu Lisesi,"Karadenizliler, Gizemnur Cd. No:25, 41050 İzmit/Kocaeli",(0262) 321 20 92,,http://izmitnkal.meb.k12.tr/,https://www.google.com/maps/place/Easy+Speak+Yuvam+Akarca+%C5%9Eubesi/data=!4m7!3m6!1s0x14cb4f9d1f491205:0x8f5144fca7cffc2d!8m2!3d40.774412!4d29.9803591!16s%2Fg%2F11h6crxd3v!19sChIJBRJJH51PyxQRLfzPp_xEUY8?authuser=0&hl=tr&rclk=1
İzmit Namık Kemal Anadolu Lisesi,"Karadenizliler, Gizemnur Cd. No:25, 41050 İzmit/Kocaeli",(0262) 321 20 92,,http://izmitnkal.meb.k12.tr/,https://www.google.com/maps/place/%C4%B0zmit+Nam%C4%B1k+Kemal+Anadolu+Lisesi/data=!4m7!3m6!1s0x14cb4fedfa48e087:0xa0716c8b1f0ae4d3!8m2!3d40.7827933!4d29.982189!16s%2Fg%2F1tg0b1cl!19sChIJh-BI-u1PyxQR0-QKH4tscaA?authuser=0&hl=tr&rclk=1
Kartepe Jet Sürücü Kursları (KÖSEKÖY ŞUBE),"Dumlupınar, Sakıp Sabancı Cd. No:52, 41250 Kartepe/Kocaeli",0533 953 12 11,,N/A,https://www.google.com/maps/place/Kaptan+Hocam+Loca+%28Butik+E%C4%9Fitim-S%C4%B1navlara+Haz%C4%B1rl%C4%B1k-Bire+Bir+%C3%96zel+Ders%29/data=!4m7!3m6!1s0x14cb4f3460e3ef9d:0xcf2f624b855d9774!8m2!3d40.771946!4d29.968291!16s%2Fg%2F11kdq3vwx4!19sChIJne_jYDRPyxQRdJddhUtiL88?authuser=0&hl=tr&rclk=1
Kartepe Jet Sürücü Kursları (KÖSEKÖY ŞUBE),"Dumlupınar, Sakıp Sabancı Cd. No:52, 41250 Kartepe/Kocaeli",0533 953 12 11,,N/A,https://www.google.com/maps/place/%C4%B0zmit+Dr.+Sad%C4%B1k+Ahmet+Akademi+Lise/data=!4m7!3m6!1s0x14cb4fe502ae2e37:0x797c470e7a39f7ae!8m2!3d40.7638778!4d29.955263!16s%2Fg%2F11lf8j27tr!19sChIJNy6uAuVPyxQRrvc5eg5HfHk?authuser=0&hl=tr&rclk=1
Kartepe Jet Sürücü Kursları (KÖSEKÖY ŞUBE),"Dumlupınar, Sakıp Sabancı Cd. No:52, 41250 Kartepe/Kocaeli",0533 953 12 11,,N/A,https://www.google.com/maps/place/Kartepe+Jet+S%C3%BCr%C3%BCc%C3%BC+Kurslar%C4%B1+%28K%C3%96SEK%C3%96Y+%C5%9EUBE%29/data=!4m7!3m6!1s0x6eeb6d7da489d39d:0x2e4a89c0c2286a68!8m2!3d40.755438!4d30.024615!16s%2Fg%2F11s7xmsz2r!19sChIJndOJpH1t624RaGoowsCJSi4?authuser=0&hl=tr&rclk=1
Kullar 1. Bölge İöo,"Yaylacık, Karamürsel Cd., 41140 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Nota+Sanat+Merkezi/data=!4m7!3m6!1s0x14cb45812c24f09d:0x6779d25c6ffd4943!8m2!3d40.7585913!4d29.9790307!16s%2Fg%2F11c6s58tly!19sChIJnfAkLIFFyxQRQ0n9b1zSeWc?authuser=0&hl=tr&rclk=1
Özel Filiz Özar Bale Ve Müzik Kursu,"Kemalpaşa, İmaret Ykş. No:6, 41200 İzmit/Kocaeli",(0262) 322 66 55,"bootstrap@5.1.3, core@2.10.2, bootstrap-icons@1.10.5",http://izmitogrenmeatolyesi.com.tr/,https://www.google.com/maps/place/Kullar+1.+B%C3%B6lge+%C4%B0%C3%B6o/data=!4m7!3m6!1s0x14cb4533cceaaaab:0xaeb596f2f3d008ac!8m2!3d40.7289215!4d29.9692656!16s%2Fg%2F11txv214q7!19sChIJq6rqzDNFyxQRrAjQ8_KWta4?authuser=0&hl=tr&rclk=1
Özel Filiz Özar Bale Ve Müzik Kursu,"Kemalpaşa, İmaret Ykş. No:6, 41200 İzmit/Kocaeli",(0262) 344 34 60,"bootstrap@5.1.3, core@2.10.2, bootstrap-icons@1.10.5",http://izmitogrenmeatolyesi.com.tr/,https://www.google.com/maps/place/%C3%96zel+Filiz+%C3%96zar+Bale+Ve+M%C3%BCzik+Kursu/data=!4m7!3m6!1s0x14cb4585714aad3d:0x32283ce98f60734a!8m2!3d40.7628565!4d29.9217036!16s%2Fg%2F1hc2kclx5!19sChIJPa1KcYVFyxQRSnNgj-k8KDI?authuser=0&hl=tr&rclk=1
BAŞİSKELE ÖĞRENME ATÖLYESİ,"Yeşilyurt, Mahmutpaşa Cd NO:4, 41190 Başiskele/Kocaeli",(0262) 344 34 60,"bootstrap@5.1.3, core@2.10.2, bootstrap-icons@1.10.5",http://izmitogrenmeatolyesi.com.tr/,https://www.google.com/maps/place/BA%C5%9E%C4%B0SKELE+%C3%96%C4%9ERENME+AT%C3%96LYES%C4%B0/data=!4m7!3m6!1s0x14cb45ef63d8b0c7:0xfc5e4a1d0259d9e2!8m2!3d40.7226004!4d29.9509634!16s%2Fg%2F11w7mkzh7b!19sChIJx7DYY-9FyxQR4tlZAh1KXvw?authuser=0&hl=tr&rclk=1
Real English Center,"Alikahya Fatih, Seyit Onbaşı Sk. No: 11 /3, 41200 İzmit/Kocaeli",0533 149 17 05,,http://www.realenglishcenter.com/,https://www.google.com/maps/place/Muammer+Dereli+Fen+Lisesi/data=!4m7!3m6!1s0x14cb4642460d9b63:0xec910917a2f4ec0c!8m2!3d40.7634193!4d29.8947567!16s%2Fg%2F1hc737kvm!19sChIJY5sNRkJGyxQRDOz0ohcJkew?authuser=0&hl=tr&rclk=1
Real English Center,"Alikahya Fatih, Seyit Onbaşı Sk. No: 11 /3, 41200 İzmit/Kocaeli",0533 149 17 05,,http://www.realenglishcenter.com/,https://www.google.com/maps/place/American+LIFE+Teenglish+%C4%B0zmit+3-14+Ya%C5%9F+%C3%87ocuklar+%C4%B0%C3%A7in+Yabanc%C4%B1+Dil+Kursu/data=!4m7!3m6!1s0x14cb5021740c5cef:0x2340eaff89947e3d!8m2!3d40.7619798!4d29.9284553!16s%2Fg%2F11c1n941kp!19sChIJ71wMdCFQyxQRPX6Uif_qQCM?authuser=0&hl=tr&rclk=1
Real English Center,"Alikahya Fatih, Seyit Onbaşı Sk. No: 11 /3, 41200 İzmit/Kocaeli",0533 149 17 05,,http://www.realenglishcenter.com/,https://www.google.com/maps/place/Real+English+Center/data=!4m7!3m6!1s0x14cb45d21b2ae72f:0xd48405899ad55d2!8m2!3d40.7744596!4d29.9778711!16s%2Fg%2F11rprtzs0v!19sChIJL-cqG9JFyxQR0lWtmVhASA0?authuser=0&hl=tr&rclk=1
Bahçecik İlkokulu,"Kılıçarslan, Hürriyet Cd. No:161, 41030 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Uzmanlar+S%C3%BCr%C3%BCc%C3%BC+Kursu/data=!4m7!3m6!1s0x14cb4581a466556d:0x37077f86fd44ccb3!8m2!3d40.7633035!4d29.9255241!16s%2Fg%2F1tcw0n14!19sChIJbVVmpIFFyxQRs8xE_YZ_Bzc?authuser=0&hl=tr&rclk=1
Bahçecik İlkokulu,"Kılıçarslan, Hürriyet Cd. No:161, 41030 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Kocaelim+S%C3%BCr%C3%BCc%C3%BC+Kursu/data=!4m7!3m6!1s0x14cb4e2736662da9:0x125aee9a4af1916f!8m2!3d40.7677!4d29.968176!16s%2Fg%2F1tg58fmx!19sChIJqS1mNidOyxQRb5HxSpruWhI?authuser=0&hl=tr&rclk=1
Bahçecik İlkokulu,"Kılıçarslan, Hürriyet Cd. No:161, 41030 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Bah%C3%A7ecik+%C4%B0lkokulu/data=!4m7!3m6!1s0x14cb437a031b9d27:0x8d4470a33d7bcf54!8m2!3d40.6732906!4d29.911666!16s%2Fg%2F11tczvt4kh!19sChIJJ50bA3pDyxQRVM97PaNwRI0?authuser=0&hl=tr&rclk=1
