Name,Address,Phone,Email,Website,Google Maps Link
Packa Bungalov - Maşukiye Kartepe Bungalov Evler,"Maşukiye, Mustafa Kemal Cd. no:97, 41295 Kartepe/Kocaeli",0530 240 77 41,,https://www.packabungalov.com/,https://www.google.com/maps/place/Ozgur+Hotel/data=!4m10!3m9!1s0x14cb460c90e7caf7:0xde1cad8554a01cc8!5m2!4m1!1i2!8m2!3d40.7641802!4d29.874696!16s%2Fg%2F11nnv_7wl0!19sChIJ98rnkAxGyxQRyBygVIWtHN4?authuser=0&hl=tr&rclk=1
KAMBO,"Barbaros Mah. Tantaoğlu Cad. Kambo Sok, No:61, 41090 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Packa+Bungalov+-+Ma%C5%9Fukiye+Kartepe+Bungalov+Evler/data=!4m7!3m6!1s0x14cb5961b0454659:0x61a0705cf716441!8m2!3d40.6915467!4d30.1315912!16s%2Fg%2F11p5xb1d8s!19sChIJWUZFsGFZyxQRQWRxzwUHGgY?authuser=0&hl=tr&rclk=1
Irmak Bungalov/Kahvaltı,"Maşukiye, Hürmet Sk., 41295 Kartepe/Kocaeli",0534 744 50 98,,https://www.instagram.com/masukiyeirmakalabalik/,https://www.google.com/maps/place/One+Blood+Hotel/data=!4m11!3m10!1s0x14cb4fe12162470f:0x6c4052d68812dbc7!5m3!1s2025-08-14!4m1!1i2!8m2!3d40.7710856!4d29.9482342!16s%2Fg%2F11hf3pnd_4!19sChIJD0diIeFPyxQRx9sSiNZSQGw?authuser=0&hl=tr&rclk=1
Work & Home Hotel Suites,"Alikahya Atatürk, Turgut Reis Cd. No:16, 41310 İzmit/Kocaeli",(0262) 365 15 40,,N/A,https://www.google.com/maps/place/Irmak+Bungalov%2FKahvalt%C4%B1/data=!4m10!3m9!1s0x14cb578869eba3fb:0x911f217e55af4455!5m2!4m1!1i2!8m2!3d40.703985!4d30.1452737!16s%2Fg%2F11gh9g3sn5!19sChIJ-6PraYhXyxQRVUSvVX4hH5E?authuser=0&hl=tr&rclk=1
Sapanca Grand Bungalov,"Nailiye 80, 54600 Başiskele/Kocaeli",0505 835 92 05,,N/A,https://www.google.com/maps/place/KAMBO/data=!4m7!3m6!1s0x14cb43c54b708da7:0x92b8e7654d5a1686!8m2!3d40.6827565!4d29.9358007!16s%2Fg%2F11y7tfppvk!19sChIJp41wS8VDyxQRhhZaTWXnuJI?authuser=0&hl=tr&rclk=1
Kocaeli Konaklama - Kocaeli İşçi Pansiyonu,"Malta, Özgürlük Cd. No:11, 41060 İzmit/Kocaeli",0537 828 05 05,,http://www.kocaelikonaklama.com/,https://www.google.com/maps/place/Work+%26+Home+Hotel+Suites/data=!4m11!3m10!1s0x14cb504ff0a8fc01:0xe2cf9945ee007a65!5m3!1s2025-08-14!4m1!1i2!8m2!3d40.7713822!4d30.0077845!16s%2Fg%2F11cm_gt_8r!19sChIJAfyo8E9QyxQRZXoA7kWZz-I?authuser=0&hl=tr&rclk=1
Keops Bungalow,"Acısu, Sapanca Yolu Cd. No:500, 41295 Kartepe/Kocaeli",0537 301 07 77,"google-places-data@0.1.1, info@keopsbungalow.com",https://www.keopsbungalow.com/,https://www.google.com/maps/place/Sapanca+Grand+Bungalov/data=!4m10!3m9!1s0x14cb5b602bbd2bf9:0xfd0182e92fd47911!5m2!4m1!1i2!8m2!3d40.671717!4d29.99984!16s%2Fg%2F11mdh_tf7t!19sChIJ-Su9K2BbyxQREXnUL-mCAf0?authuser=0&hl=tr&rclk=1
Vesile Sokak,"Yeşilova, Büşra Sk. No:21, 41060 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Kocaeli+Konaklama+-+Kocaeli+%C4%B0%C5%9F%C3%A7i+Pansiyonu/data=!4m10!3m9!1s0x14cb4fb9ba6f5cc5:0x527a875c6b180dc6!5m2!4m1!1i2!8m2!3d40.787286!4d29.946773!16s%2Fg%2F12qfdx04t!19sChIJxVxvurlPyxQRxg0Ya1yHelI?authuser=0&hl=tr&rclk=1
Markapart,"Güven apartmanı, Cedit, Cevdet Bağdat Sk. no 26, 41300 İzmit/Kocaeli",0537 335 34 41,,N/A,https://www.google.com/maps/place/Keops+Bungalow/data=!4m10!3m9!1s0x14cb59ace86a0f49:0x96a925f193e8f634!5m2!4m1!1i2!8m2!3d40.7158471!4d30.1217671!16s%2Fg%2F11vkp6w50p!19sChIJSQ9q6KxZyxQRNPbok_ElqZY?authuser=0&hl=tr&rclk=1
Kartepe Otel,"Maşukiye, Karadut Sk. No:15, 41295 Kartepe/Kocaeli",0534 454 33 96,,N/A,https://www.google.com/maps/place/Vesile+Sokak/data=!4m7!3m6!1s0x14cb4f93b8df73bb:0xa4fbfbe67199f7c7!8m2!3d40.7881138!4d29.9733324!16s%2Fg%2F11mvpzl_t5!19sChIJu3PfuJNPyxQRx_eZceb7-6Q?authuser=0&hl=tr&rclk=1
