Name,Address,Phone,Email,Website,Google Maps Link
COUSINS AUTO SPA CENTER,"Topçular, Gazanfer Bilge Blv. No:139, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Eken+Uygulama+Merkezi/data=!4m7!3m6!1s0x14cb4f0797d9b54d:0xfdd0ec3814646b75!8m2!3d40.7790526!4d29.9679053!16s%2Fg%2F11vy8d52rp!19sChIJTbXZlwdPyxQRdWtkFDjs0P0?authuser=0&hl=tr&rclk=1
Bostancıoğlu Otomotiv,"Vezirçiftliği, Körfez Sk. No:24/D, 41140 Başiskele/Kocaeli",0539 318 16 49,,N/A,https://www.google.com/maps/place/Pakel+oto/data=!4m7!3m6!1s0x14cb45d473878b5d:0x671f314db683ae9a!8m2!3d40.7566534!4d29.9595237!16s%2Fg%2F11k3ht8dc8!19sChIJXYuHc9RFyxQRmq6Dtk0xH2c?authuser=0&hl=tr&rclk=1
GÜMÜŞ OTO KAPORTA FIRINLI BOYA,"Vezirçiftliği, Ulucami Sk. No:26, 41140 Başiskele/Kocaeli",0533 223 16 36,,N/A,https://www.google.com/maps/place/COUSINS+AUTO+SPA+CENTER/data=!4m7!3m6!1s0x14cb4f0c9225a46d:0xc2622fb4ad4dd9ec!8m2!3d40.7801053!4d29.9328823!16s%2Fg%2F11rx1ld20t!19sChIJbaQlkgxPyxQR7NlNrbQvYsI?authuser=0&hl=tr&rclk=1
Mevlana Oto Servis - Otomatik Şanzıman Servisi,"Vezirçiftliği, Kocaer Sk., 41140 Başiskele/Kocaeli",0532 652 79 15,,N/A,https://www.google.com/maps/place/Bostanc%C4%B1o%C4%9Flu+Otomotiv/data=!4m7!3m6!1s0x14cb45d5e892e1b9:0xc5540635ecf6360b!8m2!3d40.745811!4d29.9572726!16s%2Fg%2F11wftwlb8_!19sChIJueGS6NVFyxQRCzb27DUGVMU?authuser=0&hl=tr&rclk=1
Loft Oto Yikama,"Sanayi, Koray Sk. No:2, 41040 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/G%C3%9CM%C3%9C%C5%9E+OTO+KAPORTA+FIRINLI+BOYA/data=!4m7!3m6!1s0x14cb45bd6dc31015:0x28598dd220e56b26!8m2!3d40.7428108!4d29.9563621!16s%2Fg%2F11gjs26zww!19sChIJFRDDbb1FyxQRJmvlINKNWSg?authuser=0&hl=tr&rclk=1
YAZICI DETAİLİNG,"Yenişehir, Şht. Selçuk Gökdağ Sk. No:28/A, 41050 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Mevlana+Oto+Servis+-+Otomatik+%C5%9Eanz%C4%B1man+Servisi/data=!4m7!3m6!1s0x14cb455b50398455:0x424bca8616e0e542!8m2!3d40.7487612!4d29.9576414!16s%2Fg%2F11c1lylzn1!19sChIJVYQ5UFtFyxQRQuXgFobKS0I?authuser=0&hl=tr&rclk=1
Kabil oto yıkama yol yardım cekiçi hizmetleri,"Mahmutpaşa, Karamürsel Cd. No:385, 41140 Başiskele/Kocaeli",0533 568 79 04,,N/A,https://www.google.com/maps/place/Loft+Oto+Yikama/data=!4m7!3m6!1s0x14cb455f0c00ec0d:0xb933f29e72347ed0!8m2!3d40.7571432!4d29.9541862!16s%2Fg%2F11frntm4z5!19sChIJDewADF9FyxQR0H40cp7yM7k?authuser=0&hl=tr&rclk=1
ERENLER OTO LASTİK YOL YARDIM EN YAKIN LASTİKÇİ,"Cedit, Kamil Bağdat Sk., 41300 İzmit/Kocaeli",0544 769 34 63,,N/A,https://www.google.com/maps/place/YAZICI+DETA%C4%B0L%C4%B0NG/data=!4m7!3m6!1s0x14cb4f5a08b63401:0x282e18ec353a858c!8m2!3d40.7691752!4d29.9631641!16s%2Fg%2F11tg5bv4mk!19sChIJATS2CFpPyxQRjIU6NewYLig?authuser=0&hl=tr&rclk=1
ERENLER OTO LASTİK YOL YARDIM EN YAKIN LASTİKÇİ,"Cedit, Kamil Bağdat Sk., 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Kabil+oto+y%C4%B1kama+yol+yard%C4%B1m+ceki%C3%A7i+hizmetleri/data=!4m7!3m6!1s0x14cb45c7f6993d17:0x5b9a4d1f27797976!8m2!3d40.72487!4d29.954824!16s%2Fg%2F11v53xhr9y!19sChIJFz2Z9sdFyxQRdnl5Jx9Nmls?authuser=0&hl=tr&rclk=1
Batı Otomotiv Servis İzmit,"Karadenizliler, Alsancak Cd. No:391 D:357, 41140 Başiskele/Kocaeli",0542 414 12 69,,N/A,https://www.google.com/maps/place/ERENLER+OTO+LAST%C4%B0K+YOL+YARDIM+EN+YAKIN+LAST%C4%B0K%C3%87%C4%B0/data=!4m7!3m6!1s0x14cb4f06fc98bf8f:0x2d13b284a35054ef!8m2!3d40.7658432!4d29.9366179!16s%2Fg%2F11sczs_yh3!19sChIJj7-Y_AZPyxQR71RQo4SyEy0?authuser=0&hl=tr&rclk=1
Honda ilkR,"Karadenizliler, Kullar Cad. no:329, 41041 Başiskele/Kocaeli",0543 774 40 68,,https://www.instagram.com/hondailkr,https://www.google.com/maps/place/TREND+YETK%C4%B0L%C4%B0+EGZOZ+MUAYENE+%C4%B0STASYONU/data=!4m7!3m6!1s0x14cb459f58ddfab7:0xad92627a9e1b9e3!8m2!3d40.7459685!4d29.950242!16s%2Fg%2F11qpt7nb0z!19sChIJt_rdWJ9FyxQR47nhqScm2Qo?authuser=0&hl=tr&rclk=1
CAR COSMETICS by ÖZER ÜNER,"Yenişehir, Banu Sk. no:51/1, 41000 İzmit/Kocaeli",0544 389 38 41,,N/A,https://www.google.com/maps/place/Bat%C4%B1+Otomotiv+Servis+%C4%B0zmit/data=!4m7!3m6!1s0x14cb45c76099a937:0xd271eaf270a19766!8m2!3d40.7515225!4d29.9658564!16s%2Fg%2F11g10cymn2!19sChIJN6mZYMdFyxQRZpehcPLqcdI?authuser=0&hl=tr&rclk=1
CAR COSMETICS by ÖZER ÜNER,"Yenişehir, Banu Sk. no:51/1, 41000 İzmit/Kocaeli",0544 389 38 41,,N/A,https://www.google.com/maps/place/Honda+ilkR/data=!4m7!3m6!1s0x14cb45fd00b05d6d:0x89d6946632bcfb9!8m2!3d40.7489498!4d29.9690788!16s%2Fg%2F11vx2rtv73!19sChIJbV2wAP1FyxQRuc8rY0ZpnQg?authuser=0&hl=tr&rclk=1
Paşam Oto Kuaför,"Yenişehir, Özden Sk. No:20, 41050 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/CAR+COSMETICS+by+%C3%96ZER+%C3%9CNER/data=!4m7!3m6!1s0x14cb4f00ff3d9a97:0x4df51605b3ff0e58!8m2!3d40.7657608!4d29.9652164!16s%2Fg%2F11ln3157gy!19sChIJl5o9_wBPyxQRWA7_swUW9U0?authuser=0&hl=tr&rclk=1
