Name,Address,Phone,Email,Website,Google Maps Link
KOCAELİ PHİLİPS TV SERVİSİ,"Kadıköy, Turan Güneş Cd. 150 / B, 41060 İzmit/Kocaeli",(0262) 332 32 34,info@kocaeliphilipstvservisi.com.tr,https://kocaeliphilipstvservisi.com.tr/,https://www.google.com/maps/place/Mollao%C4%9Flu+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb457fda04071d:0x1bcc731da192fb2d!8m2!3d40.7651994!4d29.9299389!16s%2Fg%2F11fzf7r30r!19sChIJHQcE2n9FyxQRLfuSoR1zzBs?authuser=0&hl=tr&rclk=1
Demirdöküm Yetkili Servis Neskom Teknik,"Sahil, 41190 Başiskele/Kocaeli",(0262) 343 43 73,basiskele@demirdokumservis.com.tr,https://basiskele.demirdokumservis.com.tr/,https://www.google.com/maps/place/Teknosa/data=!4m7!3m6!1s0x14cb500366ecf527:0x812d27bc49efac7f!8m2!3d40.7585913!4d29.9790307!16s%2Fg%2F1q670h7f8!19sChIJJ_XsZgNQyxQRf6zvSbwnLYE?authuser=0&hl=tr&rclk=1
Demirdöküm Yetkili Servis Neskom Teknik,"Sahil, 41190 Başiskele/Kocaeli",(0262) 343 43 73,basiskele@demirdokumservis.com.tr,https://basiskele.demirdokumservis.com.tr/,https://www.google.com/maps/place/KOCAEL%C4%B0+PH%C4%B0L%C4%B0PS+TV+SERV%C4%B0S%C4%B0/data=!4m7!3m6!1s0x14cb4f8e40815555:0x85182e5892e0f968!8m2!3d40.7694531!4d29.9438015!16s%2Fg%2F11vjdv9tqq!19sChIJVVWBQI5PyxQRaPngklguGIU?authuser=0&hl=tr&rclk=1
basiskeletelevizyonservisi,"Yenişehir, Kayar Sk. No:8A, 41050 İzmit/Kocaeli",(0262) 333 00 76,,N/A,https://www.google.com/maps/place/Demird%C3%B6k%C3%BCm+Yetkili+Servis+Neskom+Teknik/data=!4m7!3m6!1s0x14cb4554f03bfa1f:0xb6ac1da850a5ee09!8m2!3d40.7142898!4d29.93269!16s%2Fg%2F11sv73t2js!19sChIJH_o78FRFyxQRCe6lUKgdrLY?authuser=0&hl=tr&rclk=1
ARM KLİMA,"Yenişehir, Gazi Mustafa Kemal Blv. No:149/1, 41050 İzmit/Kocaeli",0534 794 49 75,,N/A,https://www.google.com/maps/place/Bosch%2FSiemens%2FProfilo+Ev+Aletleri+Yetkili+Servisi/data=!4m7!3m6!1s0x14cb45dc45e3d807:0xa0470a7525ab6fb8!8m2!3d40.7145842!4d29.945392!16s%2Fg%2F11vs2dv27f!19sChIJB9jjRdxFyxQRuG-rJXUKR6A?authuser=0&hl=tr&rclk=1
Can teknik,"Turan güneş caddesi, Kadıköy, Nazlı Sk. no 5/a, 41100 İzmit/Kocaeli",0532 661 74 03,,N/A,https://www.google.com/maps/place/basiskeletelevizyonservisi/data=!4m7!3m6!1s0x14cb4feef49d645d:0x1bc98210906f25a5!8m2!3d40.7692114!4d29.9583105!16s%2Fg%2F11swdkh353!19sChIJXWSd9O5PyxQRpSVvkBCCyRs?authuser=0&hl=tr&rclk=1
 APPLE’M GSM ,"Karabaş, İkizli Çeşme Sk. No:1/B, 41040 İzmit/Kocaeli",0552 934 93 58,,N/A,https://www.google.com/maps/place/ARM+KL%C4%B0MA/data=!4m7!3m6!1s0x14cb4fe5b42402f5:0x4f71fab14a5acc72!8m2!3d40.7678992!4d29.965122!16s%2Fg%2F11gdgd36n8!19sChIJ9QIktOVPyxQRcsxaSrH6cU8?authuser=0&hl=tr&rclk=1
Cep Teknik belsa,"Belsa plaza zemin kat (arçelik karşısı) no.79, 41040 İzmit/Kocaeli",0545 679 71 65,,N/A,https://www.google.com/maps/place/Can+teknik/data=!4m7!3m6!1s0x14cb4f8ddd8f01a7:0x94ad3b7c2d744446!8m2!3d40.7690139!4d29.9452757!16s%2Fg%2F11cfdzx2v!19sChIJpwGP3Y1PyxQRRkR0LXw7rZQ?authuser=0&hl=tr&rclk=1
Türk Telekom,"Karabaş, Abdurrahman Yüksel Cd. No:10/A, 41500 İzmit/Kocaeli",444 1 444,,https://www.turktelekom.com.tr/,https://www.google.com/maps/place/%EF%A3%BF+APPLE%E2%80%99M+GSM+%EF%A3%BF/data=!4m7!3m6!1s0x14cb4f125495620b:0x2c5398a011c6c7b2!8m2!3d40.7649781!4d29.9324447!16s%2Fg%2F11sjv5gdq2!19sChIJC2KVVBJPyxQRssfGEaCYUyw?authuser=0&hl=tr&rclk=1
PLATİN TEKNİK SERVİS,"Karadenizliler, Can Sk. No:1, 41140 Başiskele/Kocaeli",(0262) 335 20 09,,N/A,https://www.google.com/maps/place/Cep+Teknik+belsa/data=!4m7!3m6!1s0x14cb457fc1519549:0xe77922732c048490!8m2!3d40.764709!4d29.9295807!16s%2Fg%2F11hbkb476f!19sChIJSZVRwX9FyxQRkIQELHMieec?authuser=0&hl=tr&rclk=1
Başiskele Bilgisayar & Fotokopi Merkezi,"Barbaros Mah. Millet Cad. No:69/A Karşıyaka, 41090 Başiskele/Kocaeli",(0262) 343 41 74,,N/A,https://www.google.com/maps/place/T%C3%BCrk+Telekom/data=!4m7!3m6!1s0x14cabb4d87a9ed2b:0x1a8d3c2a85031f70!8m2!3d40.7646041!4d29.9303749!16s%2Fg%2F1tg83zzb!19sChIJK-2ph027yhQRcB8DhSo8jRo?authuser=0&hl=tr&rclk=1
Kocaeli GSM Teknik Servis,"Ömerağa, İnönü Cd. 154/a, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/PLAT%C4%B0N+TEKN%C4%B0K+SERV%C4%B0S/data=!4m7!3m6!1s0x14cb4557763a09e5:0x948615151f691e19!8m2!3d40.7533274!4d29.9637397!16s%2Fg%2F11csbfmkxn!19sChIJ5Qk6dldFyxQRGR5pHxUVhpQ?authuser=0&hl=tr&rclk=1
Elektronik Çözüm Merkezi,"Karabaş, Müneccim Arif Sk. 31/A, 41000 İzmit/Kocaeli",0533 579 47 08,,https://www.instagram.com/elektronikkartservisi/,https://www.google.com/maps/place/Ba%C5%9Fiskele+Bilgisayar+%26+Fotokopi+Merkezi/data=!4m7!3m6!1s0x14cb456682d865e5:0xc8875ad30d34a390!8m2!3d40.7099561!4d29.9329753!16s%2Fg%2F11wpmbqbyc!19sChIJ5WXYgmZFyxQRkKM0DdNah8g?authuser=0&hl=tr&rclk=1
Çınarlı GSM,"Cedit, Leyla Atakan Cd. No:53 B, 41900, 41100 İzmit/Kocaeli",0505 028 79 48,,N/A,https://www.google.com/maps/place/Kocaeli+GSM+Teknik+Servis/data=!4m7!3m6!1s0x14cb451f7ef60ee5:0x950e4ea891130e4f!8m2!3d40.7656716!4d29.9271395!16s%2Fg%2F11l5ntdd0j!19sChIJ5Q72fh9FyxQRTw4TkahODpU?authuser=0&hl=tr&rclk=1
İzmit Buzdolabı Servisi Beyaz Eşya,"Kadıköy, Gençer Sk. No:28, 41050 İzmit/Kocaeli",0532 499 41 54,,N/A,https://www.google.com/maps/place/Elektronik+%C3%87%C3%B6z%C3%BCm+Merkezi/data=!4m7!3m6!1s0x14cb454a5e55f44d:0xd2d36e18dbb23e54!8m2!3d40.7632813!4d29.9374377!16s%2Fg%2F11hfn00hrm!19sChIJTfRVXkpFyxQRVD6y2xhu09I?authuser=0&hl=tr&rclk=1
DORUK LED TV PS3 PS4 PS5 LAPTOP MONİTÖR TAMİR OYUN YÜKLEME SERVİSİ,"Çukurbağ, Veli Baba Sk. No24A, 41100 İzmit/Kocaeli",(0262) 332 23 70,,https://www.dorukelektroteknik.com.tr/,https://www.google.com/maps/place/%C3%87%C4%B1narl%C4%B1+GSM/data=!4m7!3m6!1s0x14cb4fadd06639a9:0xe6e4f73c941461f9!8m2!3d40.7669383!4d29.9349946!16s%2Fg%2F11vj56v58z!19sChIJqTlm0K1PyxQR-WEUlDz35OY?authuser=0&hl=tr&rclk=1
Sistem Bilgisayar Hizmetleri - Sistem Point,"No:5 Şehit Ali Çavuş Şokak Körfez Mahallesi, 41310 İzmit/Kocaeli",(0262) 321 08 66,,http://www.sistempoint.com.tr/,https://www.google.com/maps/place/%C4%B0zmit+Buzdolab%C4%B1+Servisi+Beyaz+E%C5%9Fya/data=!4m7!3m6!1s0x14cb4f8e78436c7d:0xd0f4104ef5c0c20!8m2!3d40.7686231!4d29.9450355!16s%2Fg%2F11s2q7vx9s!19sChIJfWxDeI5PyxQRIAxc7wRBDw0?authuser=0&hl=tr&rclk=1
MOBİTELL GSM TECHNOLOGY,"Ömerağa, Alemdar Cd. No: 45/A, 41000 İzmit/Kocaeli",0532 069 77 14,,N/A,https://www.google.com/maps/place/DORUK+LED+TV+PS3+PS4+PS5+LAPTOP+MON%C4%B0T%C3%96R+TAM%C4%B0R+OYUN+Y%C3%9CKLEME+SERV%C4%B0S%C4%B0/data=!4m7!3m6!1s0x14cb457fe68d11df:0xf155079ce219c6a0!8m2!3d40.7668536!4d29.9293609!16s%2Fg%2F11cmnq936t!19sChIJ3xGN5n9FyxQRoMYZ4pwHVfE?authuser=0&hl=tr&rclk=1
DAİKİN YETKİLİ SERVİS,"SANAYİ MAHALLESİ KÖPRÜBAŞI CAD, Tan Sk 2/1, 41040 İzmit/Kocaeli",0532 740 07 15,aysf.kocaeli@daikinservis.com.tr,https://www.aysfiklimlendirme.com/,https://www.google.com/maps/place/Sistem+Bilgisayar+Hizmetleri+-+Sistem+Point/data=!4m7!3m6!1s0x14cb5048f0ff4c2f:0xd7953f1cc41a8bc0!8m2!3d40.7622373!4d29.9523541!16s%2Fg%2F113dr483z!19sChIJL0z_8EhQyxQRwIsaxBw_ldc?authuser=0&hl=tr&rclk=1
Şimşir iletişim,"Ömerağa, Fethiye Cd. öztalay iş merkezi D:1.kat, 41500 İzmit/Kocaeli",0535 045 70 78,,N/A,https://www.google.com/maps/place/MOB%C4%B0TELL+GSM+TECHNOLOGY/data=!4m7!3m6!1s0x14cb458af6c6644d:0x90893ecd0bbd293c!8m2!3d40.764985!4d29.9283359!16s%2Fg%2F11nnp_7lqr!19sChIJTWTG9opFyxQRPCm9C80-iZA?authuser=0&hl=tr&rclk=1
HIZLI SİSTEM,"Çarşı Yapı AVM, Sanayi, Kozalı Cd. G2 Blok, 41100 İzmit/Kocaeli",(0262) 239 76 33,,N/A,https://www.google.com/maps/place/DA%C4%B0K%C4%B0N+YETK%C4%B0L%C4%B0+SERV%C4%B0S/data=!4m7!3m6!1s0x14cb455dc9e7380b:0x1fa80472e4fa82fa!8m2!3d40.7552253!4d29.9566945!16s%2Fg%2F11l6wdwx_w!19sChIJCzjnyV1FyxQR-oL65HIEqB8?authuser=0&hl=tr&rclk=1
Kocaeli Kombi Klima,"Yenişehir, Ural Sk. No:13/A, 41050 İzmit/Kocaeli",(0262) 311 60 99,bilgi@pdsmuhendislik.com.tr,http://www.kocaelikombiklima.com/,https://www.google.com/maps/place/%C5%9Eim%C5%9Fir+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb45a6c01cc1c1:0x7b14d44a1079b7a4!8m2!3d40.7647153!4d29.9266641!16s%2Fg%2F11v_85zr3f!19sChIJwcEcwKZFyxQRpLd5EErUFHs?authuser=0&hl=tr&rclk=1
Kocaeli Kombi Klima,"Yenişehir, Ural Sk. No:13/A, 41050 İzmit/Kocaeli",(0262) 311 60 99,bilgi@pdsmuhendislik.com.tr,http://www.kocaelikombiklima.com/,https://www.google.com/maps/place/HIZLI+S%C4%B0STEM/data=!4m7!3m6!1s0x14cb4562f1979ed9:0x48efb7d913bc93e6!8m2!3d40.7544557!4d29.9540638!16s%2Fg%2F1tdhhw19!19sChIJ2Z6X8WJFyxQR5pO8E9m370g?authuser=0&hl=tr&rclk=1
Başiskele ECA Servisi İletişim,"Barbaros, Atatürk Cd. No:53/3, 41090 Başiskele/Kocaeli",0850 665 6919,,https://eca.com.tr/servisler,https://www.google.com/maps/place/Kocaeli+Kombi+Klima/data=!4m7!3m6!1s0x14cb4fe5a2f52a4b:0x872d081b0df3ebbf!8m2!3d40.7660103!4d29.9628064!16s%2Fg%2F11bw644c60!19sChIJSyr1ouVPyxQRv-vzDRsILYc?authuser=0&hl=tr&rclk=1
Başiskele - Profilo Yetkili Servisi,"Serdar, Selahattin Eyyubi Cd., 41190 Başiskele/Kocaeli",444 7 766,,https://profilo-yetkiliservisi.com/,https://www.google.com/maps/place/41Cell+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb45cc991dd00d:0xf8007d08f6990599!8m2!3d40.7110712!4d29.9323969!16s%2Fg%2F11f8fwbvsh!19sChIJDdAdmcxFyxQRmQWZ9gh9APg?authuser=0&hl=tr&rclk=1
Başiskele - Profilo Yetkili Servisi,"Serdar, Selahattin Eyyubi Cd., 41190 Başiskele/Kocaeli",0545 930 78 73,,N/A,https://www.google.com/maps/place/Ba%C5%9Fiskele+ECA+Servisi+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb176c44ea2611:0x60c68979477432d5!8m2!3d40.7074581!4d29.9301544!16s%2Fg%2F11x16h62v8!19sChIJESbqRGwXyxQR1TJ0R3mJxmA?authuser=0&hl=tr&rclk=1
