Name,Address,Phone,Email,Website,Google Maps Link
TeknoTek41,"M, Ömerağa, Belsa Sk. PLAZA, 41300 İzmit/Kocaeli",0531 388 28 51,,N/A,https://www.google.com/maps/place/SEVEN+%C4%B0LET%C4%B0%C5%9E%C4%B0M+IPHONE+SERVIS/data=!4m7!3m6!1s0x14cb4fb7cd1a4ab3:0x2b2d8bc2a08e4654!8m2!3d40.7706145!4d29.9179355!16s%2Fg%2F11j5bxw387!19sChIJs0oazbdPyxQRVEaOoMKLLSs?authuser=0&hl=tr&rclk=1
Gökhan Elektronik izmit,"Karabaş, Cengiz Topel Cd. No:38, 41100 İzmit/Kocaeli",(0262) 321 40 50,,N/A,https://www.google.com/maps/place/AGN+Mobil+-+Telefon+al%C4%B1m+sat%C4%B1m+-+%C4%B0zmit+Telefoncu+-+Telefon+tamircisi+-+Teknik+Servis+-/data=!4m7!3m6!1s0x14cb4f8070f10015:0x12b5ea284a2981b9!8m2!3d40.7656335!4d29.9285194!16s%2Fg%2F11f4pfrf77!19sChIJFQDxcIBPyxQRuYEpSijqtRI?authuser=0&hl=tr&rclk=1
TEKNİK SERVİS,"Sipahioğlu Pasajı, Ömerağa, Sanat Sk. No:29, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/TeknoTek41/data=!4m7!3m6!1s0x14cb45e9e225b431:0x66889100eb791e4a!8m2!3d40.7652685!4d29.928855!16s%2Fg%2F11kblrjj29!19sChIJMbQl4ulFyxQRSh556wCRiGY?authuser=0&hl=tr&rclk=1
İKL KLİMA OTOMOTİV SANAYİ TİCARET LİMİTED ŞİRKETİ,"Sanayi, Kuzey Sk. No:31, 41040 İzmit/Kocaeli",0507 290 76 68,,N/A,https://www.google.com/maps/place/G%C3%B6khan+Elektronik+izmit/data=!4m7!3m6!1s0x14cb4f87bcc854af:0x7306b82cc67b4d2e!8m2!3d40.7648059!4d29.9375384!16s%2Fg%2F1vc3kk1j!19sChIJr1TIvIdPyxQRLk17xiy4BnM?authuser=0&hl=tr&rclk=1
"Mobile Expert-Cep Telefon, Tablet Teknik Servis","vakıf bank ATM si yanı, Ömer Ağa Mahallesi Abdurrahman yüksel caddesi, İzmit belediyesi arkası belsa plaza no:8 D:7.blok, 41310 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/TEKN%C4%B0K+SERV%C4%B0S/data=!4m7!3m6!1s0x14cb45802216577b:0x6e9abcf0a76abbeb!8m2!3d40.7651764!4d29.9272858!16s%2Fg%2F1hc17l9vs!19sChIJe1cWIoBFyxQR67tqp_C8mm4?authuser=0&hl=tr&rclk=1
Çınarlı GSM,"Cedit, Leyla Atakan Cd. No:53 B, 41900, 41100 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/%C4%B0KL+KL%C4%B0MA+OTOMOT%C4%B0V+SANAY%C4%B0+T%C4%B0CARET+L%C4%B0M%C4%B0TED+%C5%9E%C4%B0RKET%C4%B0/data=!4m7!3m6!1s0x14cb45831d34a663:0x82b37295003b6560!8m2!3d40.750004!4d29.9512422!16s%2Fg%2F11ldx2pypl!19sChIJY6Y0HYNFyxQRYGU7AJVys4I?authuser=0&hl=tr&rclk=1
Arçelik Yetkili Servis iletişim,"Yenişehir, Yazıcı Sk. No:11, 41050 İzmit/Kocaeli",0850 259 9669,,https://www.arcelik.com.tr/kocaeli-izmit-yetkili-servis,"https://www.google.com/maps/place/Mobile+Expert-Cep+Telefon,+Tablet+Teknik+Servis/data=!4m7!3m6!1s0x14cb457fd0055573:0xa3c4e66bc0d76948!8m2!3d40.7659063!4d29.9297344!16s%2Fg%2F11c1wl73tc!19sChIJc1UF0H9FyxQRSGnXwGvmxKM?authuser=0&hl=tr&rclk=1"
DURSAN ELEKTRONİK FAKİR YETKİLİ SERVİSİ,"Karabaş, Karabaş Sk. 1/A, 41100 İzmit/Kocaeli",(0262) 325 91 41,,N/A,https://www.google.com/maps/place/%C3%87%C4%B1narl%C4%B1+GSM/data=!4m7!3m6!1s0x14cb4fadd06639a9:0xe6e4f73c941461f9!8m2!3d40.7669383!4d29.9349946!16s%2Fg%2F11vj56v58z!19sChIJqTlm0K1PyxQR-WEUlDz35OY?authuser=0&hl=tr&rclk=1
TEKA ANKASTRE EVYE Montaj USTASI Yedek Parça YETKİLİ SERVİS FRANCE EVYE ÜCRETLİ,"Kadıköy, Turan Güneş Cd. No:124, 41060 İzmit/Kocaeli",0541 223 73 53,,N/A,https://www.google.com/maps/place/Ar%C3%A7elik+Yetkili+Servis+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb4f7eee97237d:0x74d6add47c172219!8m2!3d40.767907!4d29.9598929!16s%2Fg%2F11vdk9r5hd!19sChIJfSOX7n5PyxQRGSIXfNSt1nQ?authuser=0&hl=tr&rclk=1
İzmit Klima Center,"Kadıköy, Kalyoncu Sk., 41000 İzmit/Kocaeli",(0262) 324 00 22,,https://www.izmitklimacenter.com/,https://www.google.com/maps/place/DURSAN+ELEKTRON%C4%B0K+FAK%C4%B0R+YETK%C4%B0L%C4%B0+SERV%C4%B0S%C4%B0/data=!4m7!3m6!1s0x14cb459ec9e5183d:0xd48d1bc71a72942f!8m2!3d40.7659335!4d29.9326292!16s%2Fg%2F11gr639ypr!19sChIJPRjlyZ5FyxQRL5RyGscbjdQ?authuser=0&hl=tr&rclk=1
