Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Megachips Kocaeli,"236 D130 Yan Yolu Caddesi, Karadenizliler, 41140 Başiskele/Kocaeli",0554 347 34 34,,N/A,https://www.google.com/maps/place/GoldHead+Studios/data=!4m7!3m6!1s0x14cb454ae24c7423:0x512b51df493cba04!8m2!3d40.7620483!4d29.9302797!16s%2Fg%2F11ll7f4t9p!19sChIJI3RM4kpFyxQRBLo8Sd9RK1E?authuser=0&hl=tr&rclk=1
Alptek Bilişim,"A, Ömerağa, Abdurrahman Yüksel Cd. Belsa Plaza no 9/2, 41300 İzmit/Kocaeli",0544 463 11 86,,N/A,https://www.google.com/maps/place/All+Bili%C5%9Fim+-+Dijital+Pazarlama+Ajans%C4%B1+%7C+E-Ticaret+%C3%87%C3%B6z%C3%BCmleri/data=!4m7!3m6!1s0x14cb455158edb733:0x37c30f3fe8d77451!8m2!3d40.7639043!4d29.9339652!16s%2Fg%2F11vswh5wg0!19sChIJM7ftWFFFyxQRUXTX6D8Pwzc?authuser=0&hl=tr&rclk=1
Baki Bilişim,"Karabaş, Ncity Alışveriş Merkezi Bowlingo 2. Kat, 41200 İzmit/Kocaeli",0507 817 27 17,bilgi@bakibilisim.com,http://www.bakibilisim.com/,https://www.google.com/maps/place/Megachips+Kocaeli/data=!4m7!3m6!1s0x14cb455a4c01c421:0xb25bbf8a56ea74bf!8m2!3d40.7503549!4d29.9600219!16s%2Fg%2F11ggflq9_8!19sChIJIcQBTFpFyxQRv3TqVoq_W7I?authuser=0&hl=tr&rclk=1
TAV TEKNOLOJİ BİLİŞİM SAN. VE TİC. LTD. ŞTİ,"Sanayi, Kozalı Cd. NO:10 G BLOK NO:2, 41040 İzmit/Kocaeli",0554 883 52 19,,N/A,https://www.google.com/maps/place/Alptek+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4564ead1d90f:0x7f345278e5b6f1a8!8m2!3d40.7648664!4d29.9302941!16s%2Fg%2F11l59wcnzp!19sChIJD9nR6mRFyxQRqPG25XhSNH8?authuser=0&hl=tr&rclk=1
RED FILM STUDIO,"Yenişehir, Demokrasi Cd. Küçükcan İş Merkezi No:48 Kat:2, 41050 İzmit/Kocaeli",0530 643 15 94,,N/A,https://www.google.com/maps/place/Baki+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb45838d4300b5:0xeed96fa3617d62dc!8m2!3d40.760673!4d29.9345514!16s%2Fg%2F11b7cbcnsc!19sChIJtQBDjYNFyxQR3GJ9YaNv2e4?authuser=0&hl=tr&rclk=1
İzmit Bilgisayar,"M. Alipaşa, Sabri Aksoy Sk. No:6/A, 41050 İzmit/Kocaeli",0507 375 92 85,bilgi@izmitbilgisayar.com,https://izmitbilgisayar.com/,https://www.google.com/maps/place/TAV+TEKNOLOJ%C4%B0+B%C4%B0L%C4%B0%C5%9E%C4%B0M+SAN.+VE+T%C4%B0C.+LTD.+%C5%9ET%C4%B0/data=!4m7!3m6!1s0x14cb4598128d153f:0xb283a36ce76eefb3!8m2!3d40.7544971!4d29.954152!16s%2Fg%2F11nxsyvjmy!19sChIJPxWNEphFyxQRs-9u52yjg7I?authuser=0&hl=tr&rclk=1
Logo Yazılımları Satış,"Ömerağa Mah. İstiklal Cd. Soydan İş Merkezi D:K:4 No:126, İzmit/Kocaeli",444 4 319,,http://logodestekhatti.net/,https://www.google.com/maps/place/RED+FILM+STUDIO/data=!4m7!3m6!1s0x14cb510aae6fc7b1:0x2dd714712e475615!8m2!3d40.7632095!4d29.9647302!16s%2Fg%2F11jgxzg6yq!19sChIJscdvrgpRyxQRFVZHLnEU1y0?authuser=0&hl=tr&rclk=1
Logo Yazılımları Satış,"Ömerağa Mah. İstiklal Cd. Soydan İş Merkezi D:K:4 No:126, İzmit/Kocaeli",444 4 319,,http://logodestekhatti.net/,https://www.google.com/maps/place/%C4%B0zmit+Bilgisayar/data=!4m7!3m6!1s0x14cb4fc474e5a67b:0xa2b9efa93f302c89!8m2!3d40.7663613!4d29.9540761!16s%2Fg%2F11vm4r27xn!19sChIJe6bldMRPyxQRiSwwP6nvuaI?authuser=0&hl=tr&rclk=1
RK MEDYA,"Plaza Ofis, İstasyon, Ankara Cd. No : 14 Kat : 4 Dış kapı : 177, 41250 Kartepe/Kocaeli",(0262) 606 09 49,,http://www.rkmedya.com.tr/,https://www.google.com/maps/place/Logo+Yaz%C4%B1l%C4%B1mlar%C4%B1+Sat%C4%B1%C5%9F/data=!4m7!3m6!1s0x14cb457f916694d3:0x8745505aba2a1d90!8m2!3d40.7643728!4d29.9287469!16s%2Fg%2F11p5ftngyj!19sChIJ05RmkX9FyxQRkB0qulpQRYc?authuser=0&hl=tr&rclk=1
Adım Web Hizmetleri,"Ömerağa Mah. İnönü Cad. Asal Ap. No:156 Kat: 2 D: 4, 41300",0507 501 85 14,info@adimweb.com,https://adimweb.com/,https://www.google.com/maps/place/Eren+Parlad%C4%B1/data=!4m7!3m6!1s0x14cb4f8dd52b960b:0x260b6decbf2939ff!8m2!3d40.7649067!4d29.9695988!16s%2Fg%2F11x0hq7520!19sChIJC5Yr1Y1PyxQR_zkpv-xtCyY?authuser=0&hl=tr&rclk=1
